id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Etheline Tenenbaum,Hello,html.Page,0,2022-03-01T09:14:17.533Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,69,,,9561.103000023842,form submission,female,,,10681.900000035763,10680.100000023842,1085.663,1092.300000011921,1118.997,10669.188,{},
,Instructions,html.Page,1,2022-03-01T09:14:18.683Z,,,,,,1161.9120000238418,form submission,,,,11831.900000035763,11831.100000023842,10652.521,10682.300000011921,10669.188,11835.878,,
,Change Background,canvas.Screen,2,2022-03-01T09:14:21.673Z,,,,,,3000.0599999999995,timeout,,,,14821.700000047684,14819.271,11819.211,11832.200000047684,11835.878,14835.938,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T09:14:23.373Z,,,,0,V,1700.0340000000015,timeout,,,,16521.700000047684,16519.305,14819.271,14823.100000023842,14835.938,16535.972,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T09:14:23.472Z,,,,0,V,100.00199999999677,timeout,,,,16621.100000023842,16619.307,16519.305,16522,16535.972,16635.974,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T09:14:23.809Z,,,,0,V,302.92600003576445,response,,stim_detected,keydown(Space),16957.700000047684,16938.900000035763,16619.307,16621.30000001192,16635.974,16952.647,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T09:14:23.809Z,,,,0,V,2102.9620000357627,completion,,,,16957.900000035763,16938.900000035763,14819.271,14823.100000023842,14835.938,16952.647,,white
,Frame,canvas.Frame,3_0,2022-03-01T09:14:23.809Z,,,,0,V,2122.1620000238418,,,,,16958.100000023842,16958.100000023842,14819.271,14822.100000023842,14835.938,16952.647,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T09:14:26.273Z,,,,1,VA,2483.382999999998,timeout,,,,19421.200000047684,19419.363,16935.98,16958.80000001192,16952.647,19436.03,,white
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T09:14:26.373Z,,,,1,VA,100.00200000000041,timeout,,,,19521.400000035763,19519.365,19419.363,19421.600000023842,19436.03,19536.032,,white
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T09:14:26.611Z,,,,1,VA,219.16800004768447,response,,stim_detected,keydown(Space),19759.700000047684,19755.200000047684,19519.365,19521.700000047684,19536.032,19769.37,,white
,Trial,flow.Sequence,3_1_0,2022-03-01T09:14:26.612Z,,,,1,VA,2802.553000047683,completion,,,,19760.30000001192,19755.200000047684,16935.98,16958.700000047684,16952.647,19769.37,,white
,Frame,canvas.Frame,3_1,2022-03-01T09:14:26.612Z,,,,1,VA,2807.753000035762,,,,,19760.700000047684,19760.400000035763,16935.98,16958.100000023842,16952.647,19769.37,,white
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T09:14:28.273Z,,,,0,V,1666.7000000000007,timeout,,,,21421.900000035763,21419.403,19752.703,19762,19769.37,21436.07,,white
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T09:14:28.372Z,,,,0,V,100.00200000000041,timeout,,,,21520.600000023842,21519.405,21419.403,21422.100000023842,21436.07,21536.072,,white
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T09:14:28.590Z,,,,0,V,199.82800003576267,response,,stim_detected,keydown(Space),21738.80000001192,21735.900000035763,21519.405,21520.700000047684,21536.072,21752.743,,white
,Trial,flow.Sequence,3_2_0,2022-03-01T09:14:28.590Z,,,,0,V,1966.5300000357638,completion,,,,21739,21735.900000035763,19752.703,19761.80000001192,19769.37,21752.743,,white
,Frame,canvas.Frame,3_2,2022-03-01T09:14:28.590Z,,,,0,V,1969.630000000001,,,,,21739.100000023842,21739,19752.703,19760.900000035763,19769.37,21752.743,,white
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T09:14:30.506Z,,,,0,V,1916.7050000000017,timeout,,,,23654.700000047684,23652.781,21736.076,21739.700000047684,21752.743,23669.448,,white
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T09:14:30.606Z,,,,0,V,100.00200000000041,timeout,,,,23754.80000001192,23752.783,23652.781,23655,23669.448,23769.45,,white
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T09:14:30.790Z,,,,0,V,164.65000002384113,response,,stim_detected,keydown(Space),23938.700000047684,23934.100000023842,23752.783,23755,23769.45,23952.787,,white
,Trial,flow.Sequence,3_3_0,2022-03-01T09:14:30.790Z,,,,0,V,2181.3570000238433,completion,,,,23939,23934.100000023842,21736.076,21739.700000047684,21752.743,23952.787,,white
,Frame,canvas.Frame,3_3,2022-03-01T09:14:30.790Z,,,,0,V,2186.2570000000014,,,,,23939.100000023842,23939,21736.076,21739.100000023842,21752.743,23952.787,,white
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T09:14:33.105Z,,,,1,A,2316.7129999999997,timeout,,,,26253.700000047684,26252.833,23936.12,23940.400000035763,23952.787,26269.5,,grey
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T09:14:33.206Z,,,,1,A,100.00200000000041,timeout,,,,26354.600000023842,26352.835,26252.833,26253.80000001192,26269.5,26369.502,,grey
,Reaction,canvas.Screen,3_4_0_2,2022-03-01T09:14:33.424Z,,,,1,A,200.29800001192052,response,,stim_detected,keydown(Space),26573.100000023842,26569.80000001192,26352.835,26354.700000047684,26369.502,26586.173,,grey
,Trial,flow.Sequence,3_4_0,2022-03-01T09:14:33.425Z,,,,1,A,2617.0130000119207,completion,,,,26573.30000001192,26569.80000001192,23936.12,23940.30000001192,23952.787,26586.173,,grey
,Frame,canvas.Frame,3_4,2022-03-01T09:14:33.425Z,,,,1,A,2620.5130000119207,,,,,26573.600000023842,26573.30000001192,23936.12,23939.200000047684,23952.787,26586.173,,grey
,Fixation,canvas.Screen,3_5_0_0,2022-03-01T09:14:35.157Z,,,,0,V,1733.3680000000022,timeout,,,,28305.600000023842,28302.874,26569.506,26574.200000047684,26586.173,28319.541,,white
,Stimulus,canvas.Screen,3_5_0_1,2022-03-01T09:14:35.256Z,,,,0,V,100.00200000000041,timeout,,,,28405.100000023842,28402.876,28302.874,28305.900000035763,28319.541,28419.543,,white
