id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Buckley Tenenbaum,Hello,html.Page,0,2022-03-01T10:36:34.021Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,5,,,15223.041000023843,form submission,no_ans,16401.19999998808,16400.600000023842,1160.892,1133.6000000238419,1177.559,16394.53,{},
,Instructions,html.Page,1,2022-03-01T10:36:35.995Z,,,,,,1980.070000023843,form submission,,18375,18374.600000023842,16377.863,16401.600000023842,16394.53,18377.903,,
,Change Background,canvas.Screen,2,2022-03-01T10:36:38.983Z,,,,,,3016.7270000000026,timeout,,21363.69999998808,21361.296,18361.236,18375.100000023842,18377.903,21394.63,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T10:36:40.934Z,,,,1,VA,1933.3719999999994,timeout,,23313.899999976158,23311.335,21361.296,21365.100000023842,21394.63,23328.002,,white
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T10:36:41.033Z,,,,1,VA,100.00200000000041,timeout,,23412.899999976158,23411.337,23311.335,23314.30000001192,23328.002,23428.004,,white
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T10:36:42.533Z,,,,1,VA,1500.0299999999988,timeout,,24913.600000023842,24911.367,23411.337,23413,23428.004,24928.034,,white
,Trial,flow.Sequence,3_0_0,2022-03-01T10:36:42.550Z,,,,1,VA,3516.7369999999974,completion,,24930.19999998808,24911.367,21361.296,21365,21394.63,24928.034,,white
,Frame,canvas.Frame,3_0,2022-03-01T10:36:42.550Z,,,,1,VA,3535.569999988078,,,24930.399999976158,24930.19999998808,21361.296,21364,21394.63,24944.701,,white
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T10:36:44.234Z,,,,1,A,1683.3669999999984,timeout,,26613.80000001192,26611.401,24928.034,24931,24944.701,26628.068,,grey
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T10:36:44.334Z,,,,1,A,100.00200000000041,timeout,,26713.80000001192,26711.403,26611.401,26614.19999998808,26628.068,26728.07,,grey
,Reaction,canvas.Screen,3_1_0_2,2022-03-01T10:36:45.833Z,,,,1,A,1500.0299999999988,timeout,,28213.5,28211.433,26711.403,26714.100000023842,26728.07,28228.1,,grey
,Trial,flow.Sequence,3_1_0,2022-03-01T10:36:45.834Z,,,,1,A,3266.732,completion,,28214.100000023842,28211.433,24928.034,24930.899999976158,24944.701,28228.1,,grey
,Frame,canvas.Frame,3_1,2022-03-01T10:36:45.834Z,,,,1,A,3269.498999988078,,,28214.399999976158,28214.19999998808,24928.034,24930.399999976158,24944.701,28244.767,,grey
,Fixation,canvas.Screen,3_2_0_0,2022-03-01T10:36:47.853Z,,,,0,V,1983.3729999999996,timeout,,30232.80000001192,30211.473,28228.1,28215.399999976158,28244.767,30228.14,,white
,Stimulus,canvas.Screen,3_2_0_1,2022-03-01T10:36:47.934Z,,,,0,V,100.00200000000041,timeout,,30314,30311.475,30211.473,30232.899999976158,30228.14,30328.142,,white
,Reaction,canvas.Screen,3_2_0_2,2022-03-01T10:36:49.434Z,,,,0,V,1500.0299999999988,timeout,,31813.899999976158,31811.505,30311.475,30314.100000023842,30328.142,31828.172,,white
,Trial,flow.Sequence,3_2_0,2022-03-01T10:36:49.434Z,,,,0,V,3566.738000000001,completion,,31814.19999998808,31811.505,28228.1,28215.399999976158,28244.767,31828.172,,white
,Frame,canvas.Frame,3_2,2022-03-01T10:36:49.434Z,,,,0,V,3569.533000011921,,,31814.399999976158,31814.30000001192,28228.1,28214.600000023842,28244.767,31844.839,,white
,Fixation,canvas.Screen,3_3_0_0,2022-03-01T10:36:50.983Z,,,,1,A,1533.3640000000014,timeout,,33363.5,33361.536,31828.172,31815.600000023842,31844.839,33378.203,,grey
,Stimulus,canvas.Screen,3_3_0_1,2022-03-01T10:36:51.084Z,,,,1,A,100.00200000000041,timeout,,33464.39999997616,33461.538,33361.536,33363.89999997616,33378.203,33478.205,,grey
,Reaction,canvas.Screen,3_3_0_2,2022-03-01T10:36:52.584Z,,,,1,A,1500.0299999999988,timeout,,34963.80000001192,34961.568,33461.538,33464.60000002384,33478.205,34978.235,,grey
,Trial,flow.Sequence,3_3_0,2022-03-01T10:36:52.584Z,,,,1,A,3116.7289999999994,completion,,34964.10000002384,34961.568,31828.172,31815.399999976158,31844.839,34978.235,,grey
,Frame,canvas.Frame,3_3,2022-03-01T10:36:52.584Z,,,,1,A,3119.360999988079,,,34964.30000001192,34964.19999998808,31828.172,31814.600000023842,31844.839,34994.902,,grey
,Fixation,canvas.Screen,3_4_0_0,2022-03-01T10:36:54.200Z,,,,1,VA,1600.0319999999992,timeout,,36579.89999997616,36578.267,34978.235,34965.39999997616,34994.902,36594.934,,white
,Stimulus,canvas.Screen,3_4_0_1,2022-03-01T10:36:54.301Z,,,,1,VA,100.00200000000041,timeout,,36680.69999998808,36678.269,36578.267,36580.19999998808,36594.934,36694.936,,white
,Reaction,canvas.Screen,3_4_0_2,2022-03-01T10:36:55.801Z,,,,1,VA,1500.0299999999988,timeout,,38180.69999998808,38178.299,36678.269,36680.89999997616,36694.936,38194.966,,white
,Trial,flow.Sequence,3_4_0,2022-03-01T10:36:55.801Z,,,,1,VA,3183.396999999997,completion,,38181.10000002384,38178.299,34978.235,34965.30000001192,34994.902,38194.966,,white
,Frame,canvas.Frame,3_4,2022-03-01T10:36:55.801Z,,,,1,VA,3186.297999988077,,,38181.39999997616,38181.19999998808,34978.235,34964.5,34994.902,38211.633,,white
,Fixation,canvas.Screen,3_5_0_0,2022-03-01T10:36:57.401Z,,,,1,VA,1583.364999999998,timeout,,39780.69999998808,39778.331,38194.966,38182.69999998808,38211.633,39794.998,,white
,Stimulus,canvas.Screen,3_5_0_1,2022-03-01T10:36:57.501Z,,,,1,VA,100.00200000000041,timeout,,39880.60000002384,39878.333,39778.331,39781,39794.998,39895,,white
,Reaction,canvas.Screen,3_5_0_2,2022-03-01T10:36:59.001Z,,,,1,VA,1500.0299999999988,timeout,,41380.5,41378.363,39878.333,39881.19999998808,39895,41395.03,,white
,Trial,flow.Sequence,3_5_0,2022-03-01T10:36:59.001Z,,,,1,VA,3166.729999999996,completion,,41380.80000001192,41378.363,38194.966,38182.69999998808,38211.633,41395.03,,white
,Frame,canvas.Frame,3_5,2022-03-01T10:36:59.001Z,,,,1,VA,3169.2669999761565,,,41381,41380.89999997616,38194.966,38181.5,38211.633,41411.697,,white
,Fixation,canvas.Screen,3_6_0_0,2022-03-01T10:37:00.685Z,,,,1,VA,1666.699999999997,timeout,,43064.60000002384,43061.73,41395.03,41382.19999998808,41411.697,43078.397,,white
,Stimulus,canvas.Screen,3_6_0_1,2022-03-01T10:37:00.785Z,,,,1,VA,100.00200000000041,timeout,,43164.89999997616,43161.732,43061.73,43064.89999997616,43078.397,43178.399,,white
,Reaction,canvas.Screen,3_6_0_2,2022-03-01T10:37:02.287Z,,,,1,VA,1503.2020000000048,timeout,,44666.69999998808,44664.934,43161.732,43165.10000002384,43178.399,44681.601,,white
,Trial,flow.Sequence,3_6_0,2022-03-01T10:37:02.287Z,,,,1,VA,3253.237000000001,completion,,44667,44664.934,41395.03,41382,41411.697,44681.601,,white
,Frame,canvas.Frame,3_6,2022-03-01T10:37:02.287Z,,,,1,VA,3255.303,,,44667.10000002384,44667,41395.03,41381.10000002384,41411.697,44698.268,,white
,Fixation,canvas.Screen,3_7_0_0,2022-03-01T10:37:03.838Z,,,,0,V,1533.3640000000014,timeout,,46217.69999998808,46214.965,44681.601,44667.89999997616,44698.268,46231.632,,white
,Stimulus,canvas.Screen,3_7_0_1,2022-03-01T10:37:03.938Z,,,,0,V,100.00200000000041,timeout,,46317.89999997616,46314.967,46214.965,46218,46231.632,46331.634,,white
,Reaction,canvas.Screen,3_7_0_2,2022-03-01T10:37:05.437Z,,,,0,V,1500.0299999999988,timeout,,47817.10000002384,47814.997,46314.967,46318.30000001192,46331.634,47831.664,,white
,Trial,flow.Sequence,3_7_0,2022-03-01T10:37:05.438Z,,,,0,V,3116.7290000000066,completion,,47817.5,47814.997,44681.601,44667.89999997616,44698.268,47831.664,,white
,Frame,canvas.Frame,3_7,2022-03-01T10:37:05.438Z,,,,0,V,3119.3320000238455,,,47817.69999998808,47817.60000002384,44681.601,44667.19999998808,44698.268,47848.331,,white
,Fixation,canvas.Screen,3_8_0_0,2022-03-01T10:37:07.470Z,,,,1,A,2016.7070000000022,timeout,,49850.10000002384,49848.371,47831.664,47819,47848.331,49865.038,,grey
,Stimulus,canvas.Screen,3_8_0_1,2022-03-01T10:37:07.571Z,,,,1,A,100.00200000000041,timeout,,49951,49948.373,49848.371,49850.30000001192,49865.038,49965.04,,grey
,Reaction,canvas.Screen,3_8_0_2,2022-03-01T10:37:09.071Z,,,,1,A,1500.0299999999988,timeout,,51450.80000001192,51448.403,49948.373,49951.19999998808,49965.04,51465.07,,grey
,Trial,flow.Sequence,3_8_0,2022-03-01T10:37:09.072Z,,,,1,A,3600.072,completion,,51451.10000002384,51448.403,47831.664,47818.89999997616,47848.331,51465.07,,grey
,Frame,canvas.Frame,3_8,2022-03-01T10:37:09.072Z,,,,1,A,3602.8689999880808,,,51451.30000001192,51451.19999998808,47831.664,47817.80000001192,47848.331,51481.737,,grey
,Fixation,canvas.Screen,3_9_0_0,2022-03-01T10:37:10.771Z,,,,1,A,1683.3669999999984,timeout,,53150.30000001192,53148.437,51465.07,51452.39999997616,51481.737,53165.104,,grey
,Stimulus,canvas.Screen,3_9_0_1,2022-03-01T10:37:10.871Z,,,,1,A,100.00200000000041,timeout,,53250.60000002384,53248.439,53148.437,53150.5,53165.104,53265.106,,grey
,Reaction,canvas.Screen,3_9_0_2,2022-03-01T10:37:12.370Z,,,,1,A,1500.0299999999988,timeout,,54749.5,54748.469,53248.439,53250.80000001192,53265.106,54765.136,,grey
,Trial,flow.Sequence,3_9_0,2022-03-01T10:37:12.370Z,,,,1,A,3266.7319999999963,completion,,54749.89999997616,54748.469,51465.07,51452.19999998808,51481.737,54765.136,,grey
,Frame,canvas.Frame,3_9,2022-03-01T10:37:12.371Z,,,,1,A,3268.162999976157,,,54750.10000002384,54749.89999997616,51465.07,51451.39999997616,51481.737,54781.803,,grey
,Fixation,canvas.Screen,3_10_0_0,2022-03-01T10:37:13.924Z,,,,1,A,1533.3640000000014,timeout,,56303,56298.5,54765.136,54751.10000002384,54781.803,56315.167,,grey
,Stimulus,canvas.Screen,3_10_0_1,2022-03-01T10:37:14.023Z,,,,1,A,100.00200000000041,timeout,,56402.10000002384,56398.502,56298.5,56303.80000001192,56315.167,56415.169,,grey
,Reaction,canvas.Screen,3_10_0_2,2022-03-01T10:37:15.521Z,,,,1,A,1500.0299999999988,timeout,,57900,57898.532,56398.502,56402.30000001192,56415.169,57915.199,,grey
,Trial,flow.Sequence,3_10_0,2022-03-01T10:37:15.521Z,,,,1,A,3116.7289999999994,completion,,57900.19999998808,57898.532,54765.136,54751,54781.803,57915.199,,grey
,Frame,canvas.Frame,3_10,2022-03-01T10:37:15.521Z,,,,1,A,3118.396999988079,,,57900.30000001192,57900.19999998808,54765.136,54750.19999998808,54781.803,57931.866,,grey
,Fixation,canvas.Screen,3_11_0_0,2022-03-01T10:37:17.639Z,,,,1,A,2100.0420000000013,timeout,,60018,60015.241,57915.199,57901.30000001192,57931.866,60031.908,,grey
,Stimulus,canvas.Screen,3_11_0_1,2022-03-01T10:37:17.738Z,,,,1,A,100.00200000000041,timeout,,60117.60000002384,60115.243,60015.241,60018.30000001192,60031.908,60131.91,,grey
,Reaction,canvas.Screen,3_11_0_2,2022-03-01T10:37:19.237Z,,,,1,A,1500.0299999999988,timeout,,61616.60000002384,61615.273,60115.243,60117.80000001192,60131.91,61631.94,,grey
,Trial,flow.Sequence,3_11_0,2022-03-01T10:37:19.238Z,,,,1,A,3683.4069999999992,completion,,61616.89999997616,61615.273,57915.199,57901.19999998808,57931.866,61631.94,,grey
,Frame,canvas.Frame,3_11,2022-03-01T10:37:19.238Z,,,,1,A,3685.133999999998,,,61617.10000002384,61617,57915.199,57900.39999997616,57931.866,61648.607,,grey
,Fixation,canvas.Screen,3_12_0_0,2022-03-01T10:37:21.122Z,,,,1,A,1866.703999999998,timeout,,63501.39999997616,63498.644,61631.94,61618,61648.607,63515.311,,grey
,Stimulus,canvas.Screen,3_12_0_1,2022-03-01T10:37:21.222Z,,,,1,A,100.00200000000041,timeout,,63600.80000001192,63598.646,63498.644,63501.60000002384,63515.311,63615.313,,grey
,Reaction,canvas.Screen,3_12_0_2,2022-03-01T10:37:22.721Z,,,,1,A,1500.0299999999988,timeout,,65099.69999998808,65098.676,63598.646,63601.10000002384,63615.313,65115.343,,grey
,Trial,flow.Sequence,3_12_0,2022-03-01T10:37:22.721Z,,,,1,A,3450.068999999996,completion,,65100,65098.676,61631.94,61618,61648.607,65115.343,,grey
,Frame,canvas.Frame,3_12,2022-03-01T10:37:22.721Z,,,,1,A,3451.4930000238382,,,65100.19999998808,65100.10000002384,61631.94,61617.30000001192,61648.607,65132.01,,grey
,Fixation,canvas.Screen,3_13_0_0,2022-03-01T10:37:24.405Z,,,,1,VA,1666.7000000000044,timeout,,66784.5,66782.043,65115.343,65101.30000001192,65132.01,66798.71,,white
,Stimulus,canvas.Screen,3_13_0_1,2022-03-01T10:37:24.505Z,,,,1,VA,100.00199999999313,timeout,,66884.30000001192,66882.045,66782.043,66784.60000002384,66798.71,66898.712,,white
,Reaction,canvas.Screen,3_13_0_2,2022-03-01T10:37:26.005Z,,,,1,VA,1500.0299999999988,timeout,,68383.89999997616,68382.075,66882.045,66884.60000002384,66898.712,68398.742,,white
,Trial,flow.Sequence,3_13_0,2022-03-01T10:37:26.005Z,,,,1,VA,3250.064999999995,completion,,68384.30000001192,68382.075,65115.343,65101.30000001192,65132.01,68398.742,,white
,Frame,canvas.Frame,3_13,2022-03-01T10:37:26.005Z,,,,1,VA,3252.290000011919,,,68384.39999997616,68384.30000001192,65115.343,65100.30000001192,65132.01,68415.409,,white
,Fixation,canvas.Screen,3_14_0_0,2022-03-01T10:37:27.624Z,,,,1,VA,1600.0320000000065,timeout,,70003,69998.774,68398.742,68385.30000001192,68415.409,70015.441,,white
,Stimulus,canvas.Screen,3_14_0_1,2022-03-01T10:37:27.722Z,,,,1,VA,100.00199999999313,timeout,,70101.19999998808,70098.776,69998.774,70003.10000002384,70015.441,70115.443,,white
,Reaction,canvas.Screen,3_14_0_2,2022-03-01T10:37:29.221Z,,,,1,VA,1500.0299999999988,timeout,,71599.89999997616,71598.806,70098.776,70101.60000002384,70115.443,71615.473,,white
,Trial,flow.Sequence,3_14_0,2022-03-01T10:37:29.221Z,,,,1,VA,3183.396999999997,completion,,71600.19999998808,71598.806,68398.742,68385.30000001192,68415.409,71615.473,,white
,Frame,canvas.Frame,3_14,2022-03-01T10:37:29.221Z,,,,1,VA,3184.8910000119213,,,71600.39999997616,71600.30000001192,68398.742,68384.5,68415.409,71632.14,,white
,Fixation,canvas.Screen,3_15_0_0,2022-03-01T10:37:31.271Z,,,,1,A,2033.3739999999962,timeout,,73650.10000002384,73648.847,71615.473,71601.39999997616,71632.14,73665.514,,grey
,Stimulus,canvas.Screen,3_15_0_1,2022-03-01T10:37:31.372Z,,,,1,A,100.00200000000768,timeout,,73751.30000001192,73748.849,73648.847,73650.19999998808,73665.514,73765.516,,grey
,Reaction,canvas.Screen,3_15_0_2,2022-03-01T10:37:32.872Z,,,,1,A,1500.0299999999988,timeout,,75250.89999997616,75248.879,73748.849,73751.39999997616,73765.516,75265.546,,grey
,Trial,flow.Sequence,3_15_0,2022-03-01T10:37:32.872Z,,,,1,A,3616.7390000000014,completion,,75251.19999998808,75248.879,71615.473,71601.39999997616,71632.14,75265.546,,grey
,Frame,canvas.Frame,3_15,2022-03-01T10:37:32.874Z,,,,1,A,3619.0599999880797,,,75253,75251.19999998808,71615.473,71600.60000002384,71632.14,75282.213,,grey
,Fixation,canvas.Screen,3_16_0_0,2022-03-01T10:37:35.239Z,,,,1,A,2350.0469999999914,timeout,,77618,77615.593,75265.546,75253.89999997616,75282.213,77632.26,,grey
,Stimulus,canvas.Screen,3_16_0_1,2022-03-01T10:37:35.340Z,,,,1,A,100.00200000000768,timeout,,77718.39999997616,77715.595,77615.593,77618.30000001192,77632.26,77732.262,,grey
,Reaction,canvas.Screen,3_16_0_2,2022-03-01T10:37:36.839Z,,,,1,A,1500.0299999999988,timeout,,79217.5,79215.625,77715.595,77718.60000002384,77732.262,79232.292,,grey
,Trial,flow.Sequence,3_16_0,2022-03-01T10:37:36.839Z,,,,1,A,3933.4119999999966,completion,,79217.80000001192,79215.625,75265.546,75253.80000001192,75282.213,79232.292,,grey
,Frame,canvas.Frame,3_16,2022-03-01T10:37:36.839Z,,,,1,A,3935.6869999761548,,,79218,79217.89999997616,75265.546,75253.19999998808,75282.213,79248.959,,grey
,Fixation,canvas.Screen,3_17_0_0,2022-03-01T10:37:38.672Z,,,,0,V,1816.702999999994,timeout,,81050.60000002384,81048.995,79232.292,79219,79248.959,81065.662,,white
,Stimulus,canvas.Screen,3_17_0_1,2022-03-01T10:37:38.772Z,,,,0,V,100.00200000000768,timeout,,81150.39999997616,81148.997,81048.995,81050.80000001192,81065.662,81165.664,,white
,Reaction,canvas.Screen,3_17_0_2,2022-03-01T10:37:40.274Z,,,,0,V,1500.0299999999988,timeout,,82652.60000002384,82649.027,81148.997,81150.60000002384,81165.664,82665.694,,white
,Trial,flow.Sequence,3_17_0,2022-03-01T10:37:40.274Z,,,,0,V,3400.0679999999993,completion,,82653.10000002384,82649.027,79232.292,79218.89999997616,79248.959,82665.694,,white
,Frame,canvas.Frame,3_17,2022-03-01T10:37:40.275Z,,,,0,V,3404.2409999880765,,,82653.39999997616,82653.19999998808,79232.292,79218.10000002384,79248.959,82682.361,,white
,Fixation,canvas.Screen,3_18_0_0,2022-03-01T10:37:42.506Z,,,,1,VA,2216.7109999999957,timeout,,84884.19999998808,84882.405,82665.694,82654.5,82682.361,84899.072,,white
,Stimulus,canvas.Screen,3_18_0_1,2022-03-01T10:37:42.606Z,,,,1,VA,100.00199999999313,timeout,,84984.5,84982.407,84882.405,84884.39999997616,84899.072,84999.074,,white
,Reaction,canvas.Screen,3_18_0_2,2022-03-01T10:37:44.107Z,,,,1,VA,1500.0300000000134,timeout,,86485.19999998808,86482.437,84982.407,84984.60000002384,84999.074,86499.104,,white
,Trial,flow.Sequence,3_18_0,2022-03-01T10:37:44.107Z,,,,1,VA,3800.076000000001,completion,,86485.60000002384,86482.437,82665.694,82654.30000001192,82682.361,86499.104,,white
,Frame,canvas.Frame,3_18,2022-03-01T10:37:44.107Z,,,,1,VA,3803.3389999880746,,,86486.10000002384,86485.69999998808,82665.694,82653.60000002384,82682.361,86515.771,,white
,Fixation,canvas.Screen,3_19_0_0,2022-03-01T10:37:45.922Z,,,,1,A,1800.0360000000073,timeout,,88300.89999997616,88299.14,86499.104,86487.39999997616,86515.771,88315.807,,grey
