id,sender,sender_type,sender_id,timestamp,meta,,age,aud,condition,duration,ended_on,gender,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,vis
Margo Tenenbaum,Hello,html.Page,0,2022-03-01T09:00:55.902Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36"",""platform"":""MacIntel"",""language"":""de-DE"",""locale"":""de"",""timeZone"":""Europe/Berlin"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":708,""window_innerWidth"":1440,""window_innerHeight"":756,""devicePixelRatio"":1}",,32,,,13743.711000035762,form submission,female,,,14844.5,14843.900000035763,1050.188,1086.4000000357628,1100.189,14833.797,{},
,Instructions,html.Page,1,2022-03-01T09:00:57.487Z,,,,,,1594.8030000238414,form submission,,,,16429.100000023842,16428.600000023842,14817.13,14844.800000011921,14833.797,16433.829,,
,Change Background,canvas.Screen,2,2022-03-01T09:01:00.478Z,,,,,,3000.0599999999977,timeout,,,,19420.19999998808,19417.222,16417.162,16429.400000035763,16433.829,19433.889,,
,Fixation,canvas.Screen,3_0_0_0,2022-03-01T09:01:02.661Z,,,,1,A,2183.3770000000004,timeout,,,,21603.19999998808,21600.599,19417.222,19421.600000023842,19433.889,21617.266,,grey
,Stimulus,canvas.Screen,3_0_0_1,2022-03-01T09:01:02.761Z,,,,1,A,100.00200000000041,timeout,,,,21703.69999998808,21700.601,21600.599,21603.5,21617.266,21717.268,,grey
,Reaction,canvas.Screen,3_0_0_2,2022-03-01T09:01:03.072Z,,,,1,A,291.63200003576276,response,,stim_detected,keydown(Space),22014.600000023842,22008.900000035763,21700.601,21703.900000035763,21717.268,22017.274,,grey
,Trial,flow.Sequence,3_0_0,2022-03-01T09:01:03.073Z,,,,1,A,2575.0110000357636,completion,,,,22015.19999998808,22008.900000035763,19417.222,19421.5,19433.889,22017.274,,grey
,Frame,canvas.Frame,3_0,2022-03-01T09:01:03.073Z,,,,1,A,2581.5110000357636,,,,,22015.69999998808,22015.400000035763,19417.222,19420.600000023842,19433.889,22017.274,,grey
,Fixation,canvas.Screen,3_1_0_0,2022-03-01T09:01:05.477Z,,,,1,VA,2416.715,timeout,,,,24418.900000035763,24417.322,22000.607,22016.69999998808,22017.274,24433.989,,white
,Stimulus,canvas.Screen,3_1_0_1,2022-03-01T09:01:05.578Z,,,,1,VA,100.00200000000041,timeout,,,,24519.900000035763,24517.324,24417.322,24419.5,24433.989,24533.991,,white
